"meta.scireg.dst.latitude","meta.scireg.dst.longitude","meta.scireg.dst.org_abbr.keyword","meta.scireg.src.latitude","meta.scireg.src.longitude","meta.scireg.src.org_abbr.keyword","Count"
41,-87,U of Chicago,52,21,NCBJ.pl,16
40,-74,PPPL,43,12,Cineca,4
41,-87,U of Chicago,49,8,KIT.de,1
41,-88,FNAL,49,8,KIT.de,32
40,-72,BNL,46,6,CERN,148
40,-74,GFDL-Z,46,6,CERN,1
37,-76,JeffersonLab,46,6,CERN,13
38,-78,Caltech,46,6,CERN,3
29,-82,U of Florida,46,6,CERN,12
34,-86,NASA,46,6,CERN,1
40,-86,Purdue,46,6,CERN,82
41,-87,U of Chicago,46,6,CERN,372
41,-88,FNAL,46,6,CERN,586
40,-96,UN Lincoln,46,6,CERN,452
41,-88,FNAL,50,4,IIHE.be,45